VILLE;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;Latitude;Longitude;Elevation;moyenne;amplitude
SKIKDA;12;12.3;13.2;15.1;17.9;21;23.9;24.6;22.9;19.8;16.1;13;36.53;6.54;1; 17.65   ;12.6
ANNABA;11.6;11.9;12.9;14.9;18;21.3;24.3;25;23.2;19.7;15.6;12.5;36.5;7.49;3; 17.58   ;13.4
ALGER;11.2;11.9;12.8;14.7;17.7;21.3;24.6;25.2;23.2;19.4;15.2;12.1;36.43;3.15;24; 17.44   ;14
BEJAIA;12.1;12.3;13.1;14.7;17.6;21;24;24.8;23.2;19.7;15.8;12.7;36.45;5.04;2; 17.58   ;12.7
CONSTANTINE;7.1;8.1;9.6;12.4;16.6;21.5;25.2;25.2;21.4;16.4;11.4;7.9;36.17;6.37;694; 15.23   ;18.1
CHLEF;10.6;11.8;13.3;15.9;20.1;24.8;29;29;25.5;20.3;14.8;11.2;36.13;1.2;143; 18.86   ;18.4
MILIANA;8.6;9.6;11.3;13.2;17.3;22.2;26.6;26.6;22.9;17.7;12.8;9.3;36.18;2.14;715; 16.51   ;18
BATNA;5.3;6.3;8.2;11.6;16;21.7;24.9;24.3;20.1;14.5;9.1;6.2;35.43;6.21;827; 14.02   ;19.6
TEBESSA;6.4;7.7;9.5;12.6;17.4;22.5;25.4;24.9;21.2;16.1;10.7;7.5;35.25;8.07;820; 15.16   ;19
ORAN;11.1;12.2;13.4;15.4;18.3;21.8;24.8;25.5;23.3;19.3;14.9;11.7;35.38;0.36;90; 17.64   ;14.4
BISKRA;11.8;13.7;16.4;19.9;24.8;29.9;33.2;32.8;28.2;22.3;16.3;12.5;34.48;5.44;86; 21.82   ;21.4
DJELFA;5;6.4;8.3;11.9;16.3;22;25.7;24.9;20.4;14.3;9.1;5.9;34.41;3.15;1144; 14.18   ;20.7
EL OUED;11;13.4;16.1;20.1;24.7;29.8;32.5;32.4;28.2;22;15.7;11.5;33.3;6.47;62; 21.45   ;21.5
GHARDAIA;10.9;13.4;15.6;19.5;24.5;30;32.7;32.5;28;21.6;15.4;11.6;32.24;3.48;468; 21.31   ;21.8
BECHAR;9.9;12.7;15.8;19.4;24.2;29.3;33;32.6;27.8;21.2;14.9;10.4;31.38;2.15;807; 20.93   ;23.1
HASSI MESSAOUD;11.1;13.9;16.9;21.4;26.3;31.9;33.9;33.7;29.4;23;16.3;11.7;31.4;6.29;142; 22.46   ;22.8
EL GOLEA;9.7;12.5;15.8;20.3;25.2;30.7;32.6;32.3;28.3;21.7;15.2;10.5;30.34;2.52;397; 21.23   ;22.9
BENI ABBES;11;14.4;17.9;21.7;26.5;31.8;34.9;34.6;30.1;23.2;16.7;11.6;30.08;2.1;499; 22.87   ;23.9
TIMIMOUN;11.6;15;18.2;22.5;27.3;33;35.3;34.9;30.8;23.8;17.2;12.2;29.15;0.17;312; 23.48   ;23.7
IN AMENAS;10.3;13;17;22.4;27.1;31.3;31;30.7;28.3;22.9;16.4;11.3;28.03;9.38;561; 21.81   ;21
ADRAR;12.4;16;19.4;23.6;28.1;33.6;36;35.4;31.6;25;18.2;12.9;27.49;0.11;279; 24.35   ;23.6
DJANET;12.9;15.7;19.7;24.9;29.5;31.8;31.1;30.4;28.7;24.3;18.2;13.8;24.16;9.28;964; 23.42   ;18.9
TAMANRASSET;12.8;15;18.1;22.2;26.1;28.9;28.7;28.2;26.5;22.4;17.3;13.9;22.48;5.27;1362; 21.68   ;16.1
